nom_reg;code_reg;nom_dep;code_dep;code_epci;nom_epci;code_com;nom_commune;nb_copros;nb_logements;copros_5_moins;copros_6_10;copros_11_20;copros_21_50;copros_51_200;copros_200_plus;copros_avant_49;copros_49_74;copros_75_2000;copros_2000_plus;copros_annee_na;taux_immat
Auvergne-Rhône-Alpes;84;Ain;01;200069193;CC de la Dombes;01001;L'Abergement-Clémenciat;2;5;2;0;0;0;0;0;2;0;0;0;0;0.0
Auvergne-Rhône-Alpes;84;Ain;01;240100883;CC de la Plaine de l'Ain;01002;L'Abergement-de-Varey;1;2;1;0;0;0;0;0;1;0;0;0;0;0.0
Auvergne-Rhône-Alpes;84;Ain;01;240100883;CC de la Plaine de l'Ain;01004;Ambérieu-en-Bugey;268;2360;163;46;27;30;2;0;101;40;37;88;2;0.6754
Auvergne-Rhône-Alpes;84;Ain;01;200042497;CC Dombes Saône Vallée;01005;Ambérieux-en-Dombes;19;142;12;2;4;1;0;0;11;0;1;7;0;0.6316
Auvergne-Rhône-Alpes;84;Ain;01;200040350;CC Bugey Sud;01006;Ambléon;2;4;2;0;0;0;0;0;2;0;0;0;0;0.5
Auvergne-Rhône-Alpes;84;Ain;01;240100883;CC de la Plaine de l'Ain;01007;Ambronay;21;67;18;3;0;0;0;0;12;1;4;4;0;0.4762
Auvergne-Rhône-Alpes;84;Ain;01;240100883;CC de la Plaine de l'Ain;01008;Ambutrix;3;10;3;0;0;0;0;0;2;0;0;1;0;0.6667
Auvergne-Rhône-Alpes;84;Ain;01;200040350;CC Bugey Sud;01009;Andert-et-Condon;1;6;0;1;0;0;0;0;0;1;0;0;0;1.0
Auvergne-Rhône-Alpes;84;Ain;01;200070852;CC Usses et Rhône;01010;Anglefort;14;55;11;2;1;0;0;0;7;4;1;2;0;0.5
Auvergne-Rhône-Alpes;84;Ain;01;200042935;CA Haut-Bugey Agglomération;01011;Apremont;3;8;3;0;0;0;0;0;2;0;0;1;0;0.3333
Auvergne-Rhône-Alpes;84;Ain;01;200042935;CA Haut-Bugey Agglomération;01012;Aranc;5;11;5;0;0;0;0;0;4;0;0;1;0;0.4
Auvergne-Rhône-Alpes;84;Ain;01;240100883;CC de la Plaine de l'Ain;01013;Arandas;1;2;1;0;0;0;0;0;1;0;0;0;0;0.0
Auvergne-Rhône-Alpes;84;Ain;01;200042935;CA Haut-Bugey Agglomération;01014;Arbent;22;169;18;2;0;1;1;0;5;2;10;5;0;0.2727
Auvergne-Rhône-Alpes;84;Ain;01;200040350;CC Bugey Sud;01015;Arboys en Bugey;1;2;1;0;0;0;0;0;1;0;0;0;0;0.0
Auvergne-Rhône-Alpes;84;Ain;01;240100883;CC de la Plaine de l'Ain;01017;Argis;9;51;6;1;2;0;0;0;7;0;1;0;1;0.4444
Auvergne-Rhône-Alpes;84;Ain;01;200042497;CC Dombes Saône Vallée;01021;Ars-sur-Formans;14;96;8;3;3;0;0;0;6;0;2;6;0;0.7857
Auvergne-Rhône-Alpes;84;Ain;01;200040350;CC Bugey Sud;01022;Artemare;18;55;16;2;0;0;0;0;9;2;2;5;0;0.2222
Auvergne-Rhône-Alpes;84;Ain;01;200071751;CA du Bassin de Bourg-en-Bresse;01024;Attignat;23;272;7;4;8;4;0;0;8;1;2;12;0;0.6522
Auvergne-Rhône-Alpes;84;Ain;01;200071371;CC Bresse et Saône;01025;Bâgé-Dommartin;3;17;1;2;0;0;0;0;0;1;0;2;0;1.0
Auvergne-Rhône-Alpes;84;Ain;01;200071371;CC Bresse et Saône;01026;Bâgé-le-Châtel;8;26;8;0;0;0;0;0;3;2;1;2;0;0.125
Auvergne-Rhône-Alpes;84;Ain;01;240100610;CC de la Côtière à Montluel;01027;Balan;17;82;11;4;2;0;0;0;7;1;3;6;0;0.5294
Auvergne-Rhône-Alpes;84;Ain;01;200069193;CC de la Dombes;01028;Baneins;1;2;1;0;0;0;0;0;1;0;0;0;0;1.0
Auvergne-Rhône-Alpes;84;Ain;01;200071751;CA du Bassin de Bourg-en-Bresse;01029;Beaupont;1;6;0;1;0;0;0;0;0;0;1;0;0;0.0
Auvergne-Rhône-Alpes;84;Ain;01;200042497;CC Dombes Saône Vallée;01030;Beauregard;19;101;12;6;1;0;0;0;5;1;8;5;0;0.7895
Auvergne-Rhône-Alpes;84;Ain;01;200042935;CA Haut-Bugey Agglomération;01031;Bellignat;31;485;18;3;3;5;2;0;9;5;9;8;0;0.4194
Auvergne-Rhône-Alpes;84;Ain;01;240100610;CC de la Côtière à Montluel;01032;Béligneux;31;181;20;6;4;1;0;0;9;2;3;16;1;0.6452
Auvergne-Rhône-Alpes;84;Ain;01;240100891;CC Terre Valserhône (CCTV);01033;Valserhône;381;3570;200;99;45;33;4;0;204;73;42;59;3;0.5774
Auvergne-Rhône-Alpes;84;Ain;01;200040350;CC Bugey Sud;01034;Belley;202;1625;124;42;18;15;3;0;111;33;25;32;1;0.6238
Auvergne-Rhône-Alpes;84;Ain;01;200042935;CA Haut-Bugey Agglomération;01035;Belleydoux;6;14;6;0;0;0;0;0;6;0;0;0;0;0.1667
